O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
1.200000000000000000e+01,2.957812999999999803e+00,4.508500000000000008e-02,1.071528000000000036e+00,1.478844000000000047e+00,1.430452000000000057e+00,1.627800000000000080e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.909829999999999917e+00
1.200000000000000000e+01,2.779122000000000092e+00,6.821000000000000674e-02,1.326731000000000105e+00,1.763981000000000021e+00,1.054456999999999978e+00,7.498999999999999590e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.863580000000000014e+00
1.200000000000000000e+01,2.754465999999999859e+00,6.504300000000000359e-02,1.394242999999999899e+00,1.110349999999999948e+00,1.666560999999999959e+00,9.338000000000000814e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.869912999999999936e+00
1.200000000000000000e+01,2.747202999999999840e+00,6.327299999999999591e-02,1.378789999999999960e+00,1.509403000000000050e+00,1.292586999999999930e+00,8.744000000000000036e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.873453999999999953e+00
1.200000000000000000e+01,2.664566000000000212e+00,6.958200000000000496e-02,1.541649999999999965e+00,1.379871000000000070e+00,1.338155999999999901e+00,6.174999999999999933e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.860835000000000017e+00
1.200000000000000000e+01,2.600134999999999863e+00,9.758400000000000407e-02,1.666930999999999941e+00,1.764186000000000032e+00,8.576240000000000530e-01,1.353999999999999995e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.804831999999999992e+00
1.200000000000000000e+01,2.903017000000000181e+00,5.910699999999999982e-02,1.144652999999999921e+00,1.725807000000000091e+00,1.143046999999999924e+00,2.436899999999999830e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.881785000000000041e+00
1.200000000000000000e+01,2.582600999999999924e+00,8.518199999999999383e-02,1.695032000000000094e+00,1.585360000000000102e+00,1.036270000000000024e+00,1.555499999999999938e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.829634999999999900e+00
1.200000000000000000e+01,2.922280000000000211e+00,5.500499999999999834e-02,1.102187999999999946e+00,1.922914000000000012e+00,9.692669999999999897e-01,2.834700000000000067e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.889990999999999977e+00
1.200000000000000000e+01,2.648306999999999967e+00,8.696399999999999963e-02,1.558499999999999996e+00,1.538381999999999916e+00,1.163907000000000025e+00,3.939999999999999926e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.826071999999999917e+00
