O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
5.357050199999999762e+01,1.668770400000000009e+01,1.258960000000000079e-01,4.163242999999999583e+00,1.035384000000000082e+00,6.273079999999999767e-01,1.085299999999999980e-02,1.671380000000000088e-01,8.074700000000000211e-01,1.098332000000000086e+00,2.170617000000000019e+01
5.291038999999999959e+01,1.442267700000000019e+01,1.511359999999999926e-01,5.889980000000000437e+00,1.509198999999999957e+00,1.455222000000000016e+00,1.295499999999999950e-02,1.014769999999999978e-01,3.411350000000000215e-01,1.614994000000000041e+00,2.159083400000000097e+01
5.336335900000000265e+01,1.569462900000000083e+01,1.382790000000000130e-01,5.068776999999999866e+00,1.268275000000000041e+00,9.096140000000000336e-01,1.944500000000000048e-02,1.296360000000000012e-01,9.333810000000000162e-01,8.685629999999999740e-01,2.160604199999999864e+01
5.202307299999999657e+01,1.175856199999999951e+01,3.384510000000000018e-01,7.433454000000000228e+00,3.224623999999999935e+00,1.038192000000000004e+00,8.305500000000000382e-02,2.429369999999999863e-01,1.050650000000000084e+00,2.043162000000000145e+00,2.076383900000000082e+01
5.249447200000000180e+01,1.348927699999999952e+01,2.472360000000000113e-01,6.423871000000000109e+00,1.864926000000000084e+00,8.248299999999999521e-01,3.623300000000000132e-02,5.136540000000000550e-01,1.607032999999999934e+00,1.185027000000000053e+00,2.131344100000000097e+01
5.344056299999999737e+01,1.568176899999999918e+01,1.662760000000000071e-01,5.152396000000000420e+00,1.362598999999999894e+00,8.983219999999999539e-01,1.943500000000000089e-02,5.614500000000000046e-02,8.637999999999999845e-03,1.619571000000000094e+00,2.159428399999999826e+01
5.355145699999999920e+01,1.640582900000000066e+01,1.428850000000000120e-01,4.351505999999999652e+00,1.078133999999999926e+00,1.000197000000000003e+00,1.298999999999999981e-02,1.060819999999999957e-01,6.667980000000000018e-01,1.034836000000000089e+00,2.164928600000000003e+01
5.372417999999999694e+01,1.727706299999999828e+01,8.509799999999999309e-02,3.587204999999999977e+00,8.968009999999999593e-01,6.153239999999999821e-01,8.727999999999999647e-03,3.011159999999999948e-01,9.731710000000000083e-01,7.113310000000000466e-01,2.181998300000000057e+01
5.279660599999999704e+01,1.430569000000000024e+01,2.777180000000000204e-01,5.722275999999999918e+00,1.724433000000000105e+00,9.817000000000000171e-01,2.368100000000000066e-02,2.927879999999999927e-01,1.364907000000000092e+00,9.817000000000000171e-01,2.152850199999999958e+01
5.307338200000000228e+01,1.521254599999999968e+01,1.189489999999999992e-01,5.238099000000000061e+00,1.433880999999999961e+00,1.003500000000000059e+00,3.460300000000000181e-02,1.340880000000000127e-01,6.228620000000000267e-01,1.500925000000000065e+00,2.162716299999999947e+01
